Feature,Coefficient
CRIM,-0.7183645499095851
ZN,0.2596271426609367
INDUS,-0.0
CHAS,0.6982209621509352
NOX,-1.5681424341247816
RM,3.2715069280528195
AGE,-0.0
DIS,-2.2844494364256143
RAD,0.6719380227115177
TAX,-0.3566536994709059
PTRATIO,-1.8933351881325002
B,1.031365813357578
LSTAT,-3.609410473212799
