,Actual value,Predicted value
3484,0.0,2.2842192317630863
5286,4.4,5.057521999781656
5319,0.0,2.2842192317630863
6749,26.2,16.88054958975556
109,0.0,2.2842192317630863
639,0.0,2.2842192317630863
738,0.0,2.2842192317630863
3507,0.0,2.2842192317630863
6994,0.0,2.2842192317630863
4843,0.0,2.2842192317630863
6375,0.0,2.2842192317630863
971,0.0,2.2842192317630863
2365,0.0,2.2842192317630863
3238,35.8,2.2842192317630863
1550,0.0,2.2842192317630863
6893,0.0,2.2842192317630863
6169,1.8,2.2842192317630863
4284,0.0,2.2842192317630863
5440,0.0,2.2842192317630863
1218,0.0,2.2842192317630863
5862,12.7,2.2842192317630863
6361,0.0,2.2842192317630863
4669,0.0,2.2842192317630863
6398,0.0,2.2842192317630863
3085,0.0,2.2842192317630863
2014,0.0,2.2842192317630863
2914,0.0,2.2842192317630863
7157,0.0,2.2842192317630863
4764,0.0,2.2842192317630863
1127,0.0,2.2842192317630863
1095,0.0,2.2842192317630863
5827,0.0,2.2842192317630863
5287,4.4,5.714356865891318
213,0.0,2.2842192317630863
877,0.0,2.2842192317630863
4999,0.0,2.2842192317630863
4814,0.0,2.2842192317630863
1845,0.0,2.2842192317630863
3680,0.0,2.2842192317630863
3270,0.0,2.2842192317630863
6599,0.0,2.2842192317630863
5424,0.0,2.2842192317630863
3717,0.0,2.2842192317630863
556,39.7,9.728347714339248
1873,0.0,2.2842192317630863
1350,0.0,2.2842192317630863
4734,0.0,2.2842192317630863
2692,0.0,2.2842192317630863
6010,0.0,2.2842192317630863
4911,0.0,2.2842192317630863
2665,0.0,2.2842192317630863
2593,0.0,2.2842192317630863
3889,0.0,2.2842192317630863
1525,0.0,2.2842192317630863
1915,0.0,2.2842192317630863
3736,5.1,11.26096240192846
5580,0.0,2.2842192317630863
6155,0.0,2.2842192317630863
4145,26.3,10.385182580448909
6164,0.0,2.2842192317630863
5263,0.0,2.2842192317630863
3663,0.0,2.2842192317630863
1415,0.0,2.2842192317630863
6746,36.0,13.961283518157067
3464,0.0,2.2842192317630863
499,0.0,2.2842192317630863
2793,0.0,2.2842192317630863
4836,0.0,2.2842192317630863
1634,0.0,2.2842192317630863
633,0.0,2.2842192317630863
3884,0.0,2.2842192317630863
5395,4.4,7.1739899016905655
414,0.0,2.2842192317630863
1689,0.0,2.2842192317630863
6331,0.0,2.2842192317630863
730,0.0,2.2842192317630863
4442,0.0,2.2842192317630863
4939,0.0,2.2842192317630863
1790,0.0,2.2842192317630863
5858,0.0,2.2842192317630863
4502,0.0,2.2842192317630863
5251,6.2,2.2842192317630863
258,0.0,2.2842192317630863
3448,0.0,2.2842192317630863
1909,0.0,2.2842192317630863
6934,13.2,5.641375214101355
5009,0.0,2.2842192317630863
6800,0.0,2.2842192317630863
5042,0.0,2.2842192317630863
1955,0.0,2.2842192317630863
4840,0.0,2.2842192317630863
3756,31.0,14.837063339636615
4525,0.0,2.2842192317630863
1160,0.0,2.2842192317630863
4054,0.0,2.2842192317630863
4620,0.0,2.2842192317630863
2231,0.0,2.2842192317630863
2181,0.0,2.2842192317630863
667,0.0,2.2842192317630863
5377,0.0,2.2842192317630863
1045,0.0,2.2842192317630863
5089,0.0,2.2842192317630863
4122,0.0,2.2842192317630863
2415,0.0,2.2842192317630863
5753,0.0,2.2842192317630863
6459,0.0,2.2842192317630863
954,0.0,2.2842192317630863
316,0.0,2.2842192317630863
4425,0.0,2.2842192317630863
1819,0.0,2.2842192317630863
6568,0.0,2.2842192317630863
3568,4.4,7.684861464220303
2199,0.0,2.2842192317630863
6796,1.8,2.2842192317630863
301,0.0,2.2842192317630863
7242,5.6,2.2842192317630863
1904,0.0,2.2842192317630863
2256,0.0,2.2842192317630863
1551,0.0,2.2842192317630863
2270,0.0,2.2842192317630863
4317,9.8,2.2842192317630863
2902,0.0,2.2842192317630863
5703,1.8,2.2842192317630863
5200,0.0,2.2842192317630863
2559,0.0,2.2842192317630863
2616,0.0,2.2842192317630863
884,0.0,2.2842192317630863
1207,0.0,2.2842192317630863
397,0.0,2.2842192317630863
2302,28.1,11.990778919828085
2768,0.0,2.2842192317630863
6215,0.0,2.2842192317630863
7237,23.6,2.2842192317630863
3865,0.0,2.2842192317630863
3991,0.0,2.2842192317630863
3036,0.0,2.2842192317630863
1840,0.0,2.2842192317630863
6884,0.0,2.2842192317630863
4299,0.0,2.2842192317630863
3995,0.0,2.2842192317630863
1433,0.0,2.2842192317630863
6861,0.0,2.2842192317630863
3207,0.0,2.2842192317630863
5935,0.0,2.2842192317630863
2206,0.0,2.2842192317630863
4258,15.4,7.2469715534805275
5021,0.0,2.2842192317630863
3197,18.9,2.2842192317630863
5893,15.7,2.2842192317630863
2057,0.0,2.2842192317630863
1956,0.0,2.2842192317630863
6441,0.0,2.2842192317630863
6234,0.0,2.2842192317630863
1290,0.0,2.2842192317630863
3799,0.0,2.2842192317630863
5238,0.0,2.2842192317630863
5237,0.0,2.2842192317630863
6626,4.4,21.47839365252319
5375,0.0,2.2842192317630863
683,0.0,2.2842192317630863
5964,0.0,2.2842192317630863
1240,8.2,7.392934857060452
4506,0.0,2.2842192317630863
2394,0.0,2.2842192317630863
4137,4.9,2.2842192317630863
3774,0.0,2.2842192317630863
5848,16.6,2.2842192317630863
3931,0.0,2.2842192317630863
5373,0.0,2.2842192317630863
3106,0.0,2.2842192317630863
4196,0.0,2.2842192317630863
5540,0.0,2.2842192317630863
3934,0.0,2.2842192317630863
4399,0.0,2.2842192317630863
7276,0.0,2.2842192317630863
1905,0.0,2.2842192317630863
5515,0.0,2.2842192317630863
5253,0.0,2.2842192317630863
3355,0.0,2.2842192317630863
3662,0.0,2.2842192317630863
509,0.0,2.2842192317630863
674,0.0,2.2842192317630863
374,15.8,2.2842192317630863
4995,0.0,2.2842192317630863
3876,0.0,2.2842192317630863
2677,0.0,2.2842192317630863
395,0.0,2.2842192317630863
7080,0.0,2.2842192317630863
827,12.0,5.568393562311393
2613,0.0,2.2842192317630863
